=== Статистика парсера референсных геномов прокариот (NCBI Datasets) ===

Общее число FASTA файлов: 250
Количество фенотипов (организмов/видов): 242

--- Количество геномов по фенотипам (организмам) ---

  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'isolate': 'UNUOJ', 'strain': 'ND6100'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '0106+11154'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '0107+17127'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '172_SPNE'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '19F'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '312942'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '325_SPNE'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '34'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '358_SPNE'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '6B'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': '80_SPNE'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'ASVL_JC_0001'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'BHN369'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'CU_SPNE1_05'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'CU_SPNE32_06'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'NT'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'R34-3202'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SC_0381'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SC_0391'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SC_2441'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SC_3511'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SC_3526'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU1326'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU1337'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2295'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2443'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2502'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2599'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2624'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2704'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2863'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2866'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU2962'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU3019'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU3040'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU3069'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU554'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU555'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU556'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU557'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU558'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU559'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU560'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU561'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU562'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU563'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU894'}}: 1
  {'taxId': 1313, 'organismName': 'Streptococcus pneumoniae', 'infraspecificNames': {'strain': 'SMRU955'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': '2_1_26'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'ATCC 33988'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14840'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14841'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14842'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14843'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14844'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14845'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14846'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14847'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14848'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14850'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14851'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14852'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14853'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14855'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14856'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14857'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14858'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14859'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14860'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14861'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14862'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14863'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14864'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14865'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14866'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14867'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14909'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14910'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14915'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14918'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14919'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE14929'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE15035'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE15036'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE15037'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE15038'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'AZPAE15049'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'CCBH4851'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'JMM'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'LNU-E-001'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'MRSN18971'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PAG'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PA_ST235'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PDR'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PS3'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PSE305'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'PUPa3'}}: 1
  {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa', 'infraspecificNames': {'strain': 'YS-1p'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'isolate': 'IEH71520', 'strain': 'O25b-ST131'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': '2009-46'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': '3_2_53FAA'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': '97-3250'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'D6-117_07.11'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'E455'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'E455L'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'EC1'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'EC2'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI3'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI32'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI41'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI46'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI50'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI51'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI52'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI60'}}: 1
  {'taxId': 562, 'organismName': 'Escherichia coli', 'infraspecificNames': {'strain': 'FHI69'}}: 1
